city,airport_name,code,country,region,slug,theme
City 26,City 26 International Airport,AAZ,Country 26,Europe,city-26-aaz,business travel
City 27,City 27 International Airport,ABA,Country 27,Middle East,city-27-aba,premium long-haul demand
City 28,City 28 International Airport,ABB,Country 28,Asia Pacific,city-28-abb,honeymoon travel
City 29,City 29 International Airport,ABC,Country 29,Latin America,city-29-abc,executive itineraries
City 30,City 30 International Airport,ABD,Country 30,Africa,city-30-abd,family premium travel
City 31,City 31 International Airport,ABE,Country 31,North America,city-31-abe,luxury city breaks
City 32,City 32 International Airport,ABF,Country 32,Europe,city-32-abf,business travel
City 33,City 33 International Airport,ABG,Country 33,Middle East,city-33-abg,premium long-haul demand
City 34,City 34 International Airport,ABH,Country 34,Asia Pacific,city-34-abh,honeymoon travel
City 35,City 35 International Airport,ABI,Country 35,Latin America,city-35-abi,executive itineraries
City 36,City 36 International Airport,ABJ,Country 36,Africa,city-36-abj,family premium travel
City 37,City 37 International Airport,ABK,Country 37,North America,city-37-abk,luxury city breaks
City 38,City 38 International Airport,ABL,Country 38,Europe,city-38-abl,business travel
City 39,City 39 International Airport,ABM,Country 39,Middle East,city-39-abm,premium long-haul demand
City 40,City 40 International Airport,ABN,Country 40,Asia Pacific,city-40-abn,honeymoon travel
City 41,City 41 International Airport,ABO,Country 41,Latin America,city-41-abo,executive itineraries
City 42,City 42 International Airport,ABP,Country 42,Africa,city-42-abp,family premium travel
City 43,City 43 International Airport,ABQ,Country 43,North America,city-43-abq,luxury city breaks
City 44,City 44 International Airport,ABR,Country 44,Europe,city-44-abr,business travel
City 45,City 45 International Airport,ABS,Country 45,Middle East,city-45-abs,premium long-haul demand
City 46,City 46 International Airport,ABT,Country 46,Asia Pacific,city-46-abt,honeymoon travel
City 47,City 47 International Airport,ABU,Country 47,Latin America,city-47-abu,executive itineraries
City 48,City 48 International Airport,ABV,Country 48,Africa,city-48-abv,family premium travel
City 49,City 49 International Airport,ABW,Country 49,North America,city-49-abw,luxury city breaks
City 50,City 50 International Airport,ABX,Country 50,Europe,city-50-abx,business travel
City 51,City 51 International Airport,ABY,Country 51,Middle East,city-51-aby,premium long-haul demand
City 52,City 52 International Airport,ABZ,Country 52,Asia Pacific,city-52-abz,honeymoon travel
City 53,City 53 International Airport,ACA,Country 53,Latin America,city-53-aca,executive itineraries
City 54,City 54 International Airport,ACB,Country 54,Africa,city-54-acb,family premium travel
City 55,City 55 International Airport,ACC,Country 55,North America,city-55-acc,luxury city breaks
City 56,City 56 International Airport,ACD,Country 56,Europe,city-56-acd,business travel
City 57,City 57 International Airport,ACE,Country 57,Middle East,city-57-ace,premium long-haul demand
City 58,City 58 International Airport,ACF,Country 58,Asia Pacific,city-58-acf,honeymoon travel
City 59,City 59 International Airport,ACG,Country 59,Latin America,city-59-acg,executive itineraries
City 60,City 60 International Airport,ACH,Country 60,Africa,city-60-ach,family premium travel
City 61,City 61 International Airport,ACI,Country 61,North America,city-61-aci,luxury city breaks
City 62,City 62 International Airport,ACJ,Country 62,Europe,city-62-acj,business travel
City 63,City 63 International Airport,ACK,Country 63,Middle East,city-63-ack,premium long-haul demand
City 64,City 64 International Airport,ACL,Country 64,Asia Pacific,city-64-acl,honeymoon travel
City 65,City 65 International Airport,ACM,Country 65,Latin America,city-65-acm,executive itineraries
City 66,City 66 International Airport,ACN,Country 66,Africa,city-66-acn,family premium travel
City 67,City 67 International Airport,ACO,Country 67,North America,city-67-aco,luxury city breaks
City 68,City 68 International Airport,ACP,Country 68,Europe,city-68-acp,business travel
City 69,City 69 International Airport,ACQ,Country 69,Middle East,city-69-acq,premium long-haul demand
City 70,City 70 International Airport,ACR,Country 70,Asia Pacific,city-70-acr,honeymoon travel
City 71,City 71 International Airport,ACS,Country 71,Latin America,city-71-acs,executive itineraries
City 72,City 72 International Airport,ACT,Country 72,Africa,city-72-act,family premium travel
City 73,City 73 International Airport,ACU,Country 73,North America,city-73-acu,luxury city breaks
City 74,City 74 International Airport,ACV,Country 74,Europe,city-74-acv,business travel
City 75,City 75 International Airport,ACW,Country 75,Middle East,city-75-acw,premium long-haul demand
City 76,City 76 International Airport,ACX,Country 76,Asia Pacific,city-76-acx,honeymoon travel
City 77,City 77 International Airport,ACY,Country 77,Latin America,city-77-acy,executive itineraries
City 78,City 78 International Airport,ACZ,Country 78,Africa,city-78-acz,family premium travel
City 79,City 79 International Airport,ADA,Country 79,North America,city-79-ada,luxury city breaks
City 80,City 80 International Airport,ADB,Country 80,Europe,city-80-adb,business travel
City 81,City 81 International Airport,ADC,Country 81,Middle East,city-81-adc,premium long-haul demand
City 82,City 82 International Airport,ADD,Country 82,Asia Pacific,city-82-add,honeymoon travel
City 83,City 83 International Airport,ADE,Country 83,Latin America,city-83-ade,executive itineraries
City 84,City 84 International Airport,ADF,Country 84,Africa,city-84-adf,family premium travel
City 85,City 85 International Airport,ADG,Country 85,North America,city-85-adg,luxury city breaks
City 86,City 86 International Airport,ADH,Country 86,Europe,city-86-adh,business travel
City 87,City 87 International Airport,ADI,Country 87,Middle East,city-87-adi,premium long-haul demand
City 88,City 88 International Airport,ADJ,Country 88,Asia Pacific,city-88-adj,honeymoon travel
City 89,City 89 International Airport,ADK,Country 89,Latin America,city-89-adk,executive itineraries
City 90,City 90 International Airport,ADL,Country 90,Africa,city-90-adl,family premium travel
City 91,City 91 International Airport,ADM,Country 91,North America,city-91-adm,luxury city breaks
City 92,City 92 International Airport,ADN,Country 92,Europe,city-92-adn,business travel
City 93,City 93 International Airport,ADO,Country 93,Middle East,city-93-ado,premium long-haul demand
City 94,City 94 International Airport,ADP,Country 94,Asia Pacific,city-94-adp,honeymoon travel
City 95,City 95 International Airport,ADQ,Country 95,Latin America,city-95-adq,executive itineraries
City 96,City 96 International Airport,ADR,Country 96,Africa,city-96-adr,family premium travel
City 97,City 97 International Airport,ADS,Country 97,North America,city-97-ads,luxury city breaks
City 98,City 98 International Airport,ADT,Country 98,Europe,city-98-adt,business travel
City 99,City 99 International Airport,ADU,Country 99,Middle East,city-99-adu,premium long-haul demand
City 100,City 100 International Airport,ADV,Country 100,Asia Pacific,city-100-adv,honeymoon travel
City 101,City 101 International Airport,ADW,Country 101,Latin America,city-101-adw,executive itineraries
City 102,City 102 International Airport,ADX,Country 102,Africa,city-102-adx,family premium travel
City 103,City 103 International Airport,ADY,Country 103,North America,city-103-ady,luxury city breaks
City 104,City 104 International Airport,ADZ,Country 104,Europe,city-104-adz,business travel
City 105,City 105 International Airport,AEA,Country 105,Middle East,city-105-aea,premium long-haul demand
City 106,City 106 International Airport,AEB,Country 106,Asia Pacific,city-106-aeb,honeymoon travel
City 107,City 107 International Airport,AEC,Country 107,Latin America,city-107-aec,executive itineraries
City 108,City 108 International Airport,AED,Country 108,Africa,city-108-aed,family premium travel
City 109,City 109 International Airport,AEE,Country 109,North America,city-109-aee,luxury city breaks
City 110,City 110 International Airport,AEF,Country 110,Europe,city-110-aef,business travel
City 111,City 111 International Airport,AEG,Country 111,Middle East,city-111-aeg,premium long-haul demand
City 112,City 112 International Airport,AEH,Country 112,Asia Pacific,city-112-aeh,honeymoon travel
City 113,City 113 International Airport,AEI,Country 113,Latin America,city-113-aei,executive itineraries
City 114,City 114 International Airport,AEJ,Country 114,Africa,city-114-aej,family premium travel
City 115,City 115 International Airport,AEK,Country 115,North America,city-115-aek,luxury city breaks
City 116,City 116 International Airport,AEL,Country 116,Europe,city-116-ael,business travel
City 117,City 117 International Airport,AEM,Country 117,Middle East,city-117-aem,premium long-haul demand
City 118,City 118 International Airport,AEN,Country 118,Asia Pacific,city-118-aen,honeymoon travel
City 119,City 119 International Airport,AEO,Country 119,Latin America,city-119-aeo,executive itineraries
City 120,City 120 International Airport,AEP,Country 120,Africa,city-120-aep,family premium travel
City 121,City 121 International Airport,AEQ,Country 121,North America,city-121-aeq,luxury city breaks
City 122,City 122 International Airport,AER,Country 122,Europe,city-122-aer,business travel
City 123,City 123 International Airport,AES,Country 123,Middle East,city-123-aes,premium long-haul demand
City 124,City 124 International Airport,AET,Country 124,Asia Pacific,city-124-aet,honeymoon travel
City 125,City 125 International Airport,AEU,Country 125,Latin America,city-125-aeu,executive itineraries
City 126,City 126 International Airport,AEV,Country 126,Africa,city-126-aev,family premium travel
City 127,City 127 International Airport,AEW,Country 127,North America,city-127-aew,luxury city breaks
City 128,City 128 International Airport,AEX,Country 128,Europe,city-128-aex,business travel
City 129,City 129 International Airport,AEY,Country 129,Middle East,city-129-aey,premium long-haul demand
City 130,City 130 International Airport,AEZ,Country 130,Asia Pacific,city-130-aez,honeymoon travel
City 131,City 131 International Airport,AFA,Country 131,Latin America,city-131-afa,executive itineraries
City 132,City 132 International Airport,AFB,Country 132,Africa,city-132-afb,family premium travel
City 133,City 133 International Airport,AFC,Country 133,North America,city-133-afc,luxury city breaks
City 134,City 134 International Airport,AFD,Country 134,Europe,city-134-afd,business travel
City 135,City 135 International Airport,AFE,Country 135,Middle East,city-135-afe,premium long-haul demand
City 136,City 136 International Airport,AFF,Country 136,Asia Pacific,city-136-aff,honeymoon travel
City 137,City 137 International Airport,AFG,Country 137,Latin America,city-137-afg,executive itineraries
City 138,City 138 International Airport,AFH,Country 138,Africa,city-138-afh,family premium travel
City 139,City 139 International Airport,AFI,Country 139,North America,city-139-afi,luxury city breaks
City 140,City 140 International Airport,AFJ,Country 140,Europe,city-140-afj,business travel
City 141,City 141 International Airport,AFK,Country 141,Middle East,city-141-afk,premium long-haul demand
City 142,City 142 International Airport,AFL,Country 142,Asia Pacific,city-142-afl,honeymoon travel
City 143,City 143 International Airport,AFM,Country 143,Latin America,city-143-afm,executive itineraries
City 144,City 144 International Airport,AFN,Country 144,Africa,city-144-afn,family premium travel
City 145,City 145 International Airport,AFO,Country 145,North America,city-145-afo,luxury city breaks
City 146,City 146 International Airport,AFP,Country 146,Europe,city-146-afp,business travel
City 147,City 147 International Airport,AFQ,Country 147,Middle East,city-147-afq,premium long-haul demand
City 148,City 148 International Airport,AFR,Country 148,Asia Pacific,city-148-afr,honeymoon travel
City 149,City 149 International Airport,AFS,Country 149,Latin America,city-149-afs,executive itineraries
City 150,City 150 International Airport,AFT,Country 150,Africa,city-150-aft,family premium travel
City 151,City 151 International Airport,AFU,Country 151,North America,city-151-afu,luxury city breaks
City 152,City 152 International Airport,AFV,Country 152,Europe,city-152-afv,business travel
City 153,City 153 International Airport,AFW,Country 153,Middle East,city-153-afw,premium long-haul demand
City 154,City 154 International Airport,AFX,Country 154,Asia Pacific,city-154-afx,honeymoon travel
City 155,City 155 International Airport,AFY,Country 155,Latin America,city-155-afy,executive itineraries
City 156,City 156 International Airport,AFZ,Country 156,Africa,city-156-afz,family premium travel
City 157,City 157 International Airport,AGA,Country 157,North America,city-157-aga,luxury city breaks
City 158,City 158 International Airport,AGB,Country 158,Europe,city-158-agb,business travel
City 159,City 159 International Airport,AGC,Country 159,Middle East,city-159-agc,premium long-haul demand
City 160,City 160 International Airport,AGD,Country 160,Asia Pacific,city-160-agd,honeymoon travel
City 161,City 161 International Airport,AGE,Country 161,Latin America,city-161-age,executive itineraries
City 162,City 162 International Airport,AGF,Country 162,Africa,city-162-agf,family premium travel
City 163,City 163 International Airport,AGG,Country 163,North America,city-163-agg,luxury city breaks
City 164,City 164 International Airport,AGH,Country 164,Europe,city-164-agh,business travel
City 165,City 165 International Airport,AGI,Country 165,Middle East,city-165-agi,premium long-haul demand
City 166,City 166 International Airport,AGJ,Country 166,Asia Pacific,city-166-agj,honeymoon travel
City 167,City 167 International Airport,AGK,Country 167,Latin America,city-167-agk,executive itineraries
City 168,City 168 International Airport,AGL,Country 168,Africa,city-168-agl,family premium travel
City 169,City 169 International Airport,AGM,Country 169,North America,city-169-agm,luxury city breaks
City 170,City 170 International Airport,AGN,Country 170,Europe,city-170-agn,business travel
City 171,City 171 International Airport,AGO,Country 171,Middle East,city-171-ago,premium long-haul demand
City 172,City 172 International Airport,AGP,Country 172,Asia Pacific,city-172-agp,honeymoon travel
City 173,City 173 International Airport,AGQ,Country 173,Latin America,city-173-agq,executive itineraries
City 174,City 174 International Airport,AGR,Country 174,Africa,city-174-agr,family premium travel
City 175,City 175 International Airport,AGS,Country 175,North America,city-175-ags,luxury city breaks
City 176,City 176 International Airport,AGT,Country 176,Europe,city-176-agt,business travel
City 177,City 177 International Airport,AGU,Country 177,Middle East,city-177-agu,premium long-haul demand
City 178,City 178 International Airport,AGV,Country 178,Asia Pacific,city-178-agv,honeymoon travel
City 179,City 179 International Airport,AGW,Country 179,Latin America,city-179-agw,executive itineraries
City 180,City 180 International Airport,AGX,Country 180,Africa,city-180-agx,family premium travel
City 181,City 181 International Airport,AGY,Country 181,North America,city-181-agy,luxury city breaks
City 182,City 182 International Airport,AGZ,Country 182,Europe,city-182-agz,business travel
City 183,City 183 International Airport,AHA,Country 183,Middle East,city-183-aha,premium long-haul demand
City 184,City 184 International Airport,AHB,Country 184,Asia Pacific,city-184-ahb,honeymoon travel
City 185,City 185 International Airport,AHC,Country 185,Latin America,city-185-ahc,executive itineraries
City 186,City 186 International Airport,AHD,Country 186,Africa,city-186-ahd,family premium travel
City 187,City 187 International Airport,AHE,Country 187,North America,city-187-ahe,luxury city breaks
City 188,City 188 International Airport,AHF,Country 188,Europe,city-188-ahf,business travel
City 189,City 189 International Airport,AHG,Country 189,Middle East,city-189-ahg,premium long-haul demand
City 190,City 190 International Airport,AHH,Country 190,Asia Pacific,city-190-ahh,honeymoon travel
City 191,City 191 International Airport,AHI,Country 191,Latin America,city-191-ahi,executive itineraries
City 192,City 192 International Airport,AHJ,Country 192,Africa,city-192-ahj,family premium travel
City 193,City 193 International Airport,AHK,Country 193,North America,city-193-ahk,luxury city breaks
City 194,City 194 International Airport,AHL,Country 194,Europe,city-194-ahl,business travel
City 195,City 195 International Airport,AHM,Country 195,Middle East,city-195-ahm,premium long-haul demand
City 196,City 196 International Airport,AHN,Country 196,Asia Pacific,city-196-ahn,honeymoon travel
City 197,City 197 International Airport,AHO,Country 197,Latin America,city-197-aho,executive itineraries
City 198,City 198 International Airport,AHP,Country 198,Africa,city-198-ahp,family premium travel
City 199,City 199 International Airport,AHQ,Country 199,North America,city-199-ahq,luxury city breaks
City 200,City 200 International Airport,AHR,Country 200,Europe,city-200-ahr,business travel
City 201,City 201 International Airport,AHS,Country 201,Middle East,city-201-ahs,premium long-haul demand
City 202,City 202 International Airport,AHT,Country 202,Asia Pacific,city-202-aht,honeymoon travel
City 203,City 203 International Airport,AHU,Country 203,Latin America,city-203-ahu,executive itineraries
City 204,City 204 International Airport,AHV,Country 204,Africa,city-204-ahv,family premium travel
City 205,City 205 International Airport,AHW,Country 205,North America,city-205-ahw,luxury city breaks
City 206,City 206 International Airport,AHX,Country 206,Europe,city-206-ahx,business travel
City 207,City 207 International Airport,AHY,Country 207,Middle East,city-207-ahy,premium long-haul demand
City 208,City 208 International Airport,AHZ,Country 208,Asia Pacific,city-208-ahz,honeymoon travel
City 209,City 209 International Airport,AIA,Country 209,Latin America,city-209-aia,executive itineraries
City 210,City 210 International Airport,AIB,Country 210,Africa,city-210-aib,family premium travel
City 211,City 211 International Airport,AIC,Country 211,North America,city-211-aic,luxury city breaks
City 212,City 212 International Airport,AID,Country 212,Europe,city-212-aid,business travel
City 213,City 213 International Airport,AIE,Country 213,Middle East,city-213-aie,premium long-haul demand
City 214,City 214 International Airport,AIF,Country 214,Asia Pacific,city-214-aif,honeymoon travel
City 215,City 215 International Airport,AIG,Country 215,Latin America,city-215-aig,executive itineraries
City 216,City 216 International Airport,AIH,Country 216,Africa,city-216-aih,family premium travel
City 217,City 217 International Airport,AII,Country 217,North America,city-217-aii,luxury city breaks
City 218,City 218 International Airport,AIJ,Country 218,Europe,city-218-aij,business travel
City 219,City 219 International Airport,AIK,Country 219,Middle East,city-219-aik,premium long-haul demand
City 220,City 220 International Airport,AIL,Country 220,Asia Pacific,city-220-ail,honeymoon travel
City 221,City 221 International Airport,AIM,Country 1,Latin America,city-221-aim,executive itineraries
City 222,City 222 International Airport,AIN,Country 2,Africa,city-222-ain,family premium travel
City 223,City 223 International Airport,AIO,Country 3,North America,city-223-aio,luxury city breaks
City 224,City 224 International Airport,AIP,Country 4,Europe,city-224-aip,business travel
City 225,City 225 International Airport,AIQ,Country 5,Middle East,city-225-aiq,premium long-haul demand
City 226,City 226 International Airport,AIR,Country 6,Asia Pacific,city-226-air,honeymoon travel
City 227,City 227 International Airport,AIS,Country 7,Latin America,city-227-ais,executive itineraries
City 228,City 228 International Airport,AIT,Country 8,Africa,city-228-ait,family premium travel
City 229,City 229 International Airport,AIU,Country 9,North America,city-229-aiu,luxury city breaks
City 230,City 230 International Airport,AIV,Country 10,Europe,city-230-aiv,business travel
City 231,City 231 International Airport,AIW,Country 11,Middle East,city-231-aiw,premium long-haul demand
City 232,City 232 International Airport,AIX,Country 12,Asia Pacific,city-232-aix,honeymoon travel
City 233,City 233 International Airport,AIY,Country 13,Latin America,city-233-aiy,executive itineraries
City 234,City 234 International Airport,AIZ,Country 14,Africa,city-234-aiz,family premium travel
City 235,City 235 International Airport,AJA,Country 15,North America,city-235-aja,luxury city breaks
City 236,City 236 International Airport,AJB,Country 16,Europe,city-236-ajb,business travel
City 237,City 237 International Airport,AJC,Country 17,Middle East,city-237-ajc,premium long-haul demand
City 238,City 238 International Airport,AJD,Country 18,Asia Pacific,city-238-ajd,honeymoon travel
City 239,City 239 International Airport,AJE,Country 19,Latin America,city-239-aje,executive itineraries
City 240,City 240 International Airport,AJF,Country 20,Africa,city-240-ajf,family premium travel
City 241,City 241 International Airport,AJG,Country 21,North America,city-241-ajg,luxury city breaks
City 242,City 242 International Airport,AJH,Country 22,Europe,city-242-ajh,business travel
City 243,City 243 International Airport,AJI,Country 23,Middle East,city-243-aji,premium long-haul demand
City 244,City 244 International Airport,AJJ,Country 24,Asia Pacific,city-244-ajj,honeymoon travel
City 245,City 245 International Airport,AJK,Country 25,Latin America,city-245-ajk,executive itineraries
City 246,City 246 International Airport,AJL,Country 26,Africa,city-246-ajl,family premium travel
City 247,City 247 International Airport,AJM,Country 27,North America,city-247-ajm,luxury city breaks
City 248,City 248 International Airport,AJN,Country 28,Europe,city-248-ajn,business travel
City 249,City 249 International Airport,AJO,Country 29,Middle East,city-249-ajo,premium long-haul demand
City 250,City 250 International Airport,AJP,Country 30,Asia Pacific,city-250-ajp,honeymoon travel
City 251,City 251 International Airport,AJQ,Country 31,Latin America,city-251-ajq,executive itineraries
City 252,City 252 International Airport,AJR,Country 32,Africa,city-252-ajr,family premium travel
City 253,City 253 International Airport,AJS,Country 33,North America,city-253-ajs,luxury city breaks
City 254,City 254 International Airport,AJT,Country 34,Europe,city-254-ajt,business travel
City 255,City 255 International Airport,AJU,Country 35,Middle East,city-255-aju,premium long-haul demand
City 256,City 256 International Airport,AJV,Country 36,Asia Pacific,city-256-ajv,honeymoon travel
City 257,City 257 International Airport,AJW,Country 37,Latin America,city-257-ajw,executive itineraries
City 258,City 258 International Airport,AJX,Country 38,Africa,city-258-ajx,family premium travel
City 259,City 259 International Airport,AJY,Country 39,North America,city-259-ajy,luxury city breaks
City 260,City 260 International Airport,AJZ,Country 40,Europe,city-260-ajz,business travel
City 261,City 261 International Airport,AKA,Country 41,Middle East,city-261-aka,premium long-haul demand
City 262,City 262 International Airport,AKB,Country 42,Asia Pacific,city-262-akb,honeymoon travel
City 263,City 263 International Airport,AKC,Country 43,Latin America,city-263-akc,executive itineraries
City 264,City 264 International Airport,AKD,Country 44,Africa,city-264-akd,family premium travel
City 265,City 265 International Airport,AKE,Country 45,North America,city-265-ake,luxury city breaks
City 266,City 266 International Airport,AKF,Country 46,Europe,city-266-akf,business travel
City 267,City 267 International Airport,AKG,Country 47,Middle East,city-267-akg,premium long-haul demand
City 268,City 268 International Airport,AKH,Country 48,Asia Pacific,city-268-akh,honeymoon travel
City 269,City 269 International Airport,AKI,Country 49,Latin America,city-269-aki,executive itineraries
City 270,City 270 International Airport,AKJ,Country 50,Africa,city-270-akj,family premium travel
City 271,City 271 International Airport,AKK,Country 51,North America,city-271-akk,luxury city breaks
City 272,City 272 International Airport,AKL,Country 52,Europe,city-272-akl,business travel
City 273,City 273 International Airport,AKM,Country 53,Middle East,city-273-akm,premium long-haul demand
City 274,City 274 International Airport,AKN,Country 54,Asia Pacific,city-274-akn,honeymoon travel
City 275,City 275 International Airport,AKO,Country 55,Latin America,city-275-ako,executive itineraries
City 276,City 276 International Airport,AKP,Country 56,Africa,city-276-akp,family premium travel
City 277,City 277 International Airport,AKQ,Country 57,North America,city-277-akq,luxury city breaks
City 278,City 278 International Airport,AKR,Country 58,Europe,city-278-akr,business travel
City 279,City 279 International Airport,AKS,Country 59,Middle East,city-279-aks,premium long-haul demand
City 280,City 280 International Airport,AKT,Country 60,Asia Pacific,city-280-akt,honeymoon travel
City 281,City 281 International Airport,AKU,Country 61,Latin America,city-281-aku,executive itineraries
City 282,City 282 International Airport,AKV,Country 62,Africa,city-282-akv,family premium travel
City 283,City 283 International Airport,AKW,Country 63,North America,city-283-akw,luxury city breaks
City 284,City 284 International Airport,AKX,Country 64,Europe,city-284-akx,business travel
City 285,City 285 International Airport,AKY,Country 65,Middle East,city-285-aky,premium long-haul demand
City 286,City 286 International Airport,AKZ,Country 66,Asia Pacific,city-286-akz,honeymoon travel
City 287,City 287 International Airport,ALA,Country 67,Latin America,city-287-ala,executive itineraries
City 288,City 288 International Airport,ALB,Country 68,Africa,city-288-alb,family premium travel
City 289,City 289 International Airport,ALC,Country 69,North America,city-289-alc,luxury city breaks
City 290,City 290 International Airport,ALD,Country 70,Europe,city-290-ald,business travel
City 291,City 291 International Airport,ALE,Country 71,Middle East,city-291-ale,premium long-haul demand
City 292,City 292 International Airport,ALF,Country 72,Asia Pacific,city-292-alf,honeymoon travel
City 293,City 293 International Airport,ALG,Country 73,Latin America,city-293-alg,executive itineraries
City 294,City 294 International Airport,ALH,Country 74,Africa,city-294-alh,family premium travel
City 295,City 295 International Airport,ALI,Country 75,North America,city-295-ali,luxury city breaks
City 296,City 296 International Airport,ALJ,Country 76,Europe,city-296-alj,business travel
City 297,City 297 International Airport,ALK,Country 77,Middle East,city-297-alk,premium long-haul demand
City 298,City 298 International Airport,ALL,Country 78,Asia Pacific,city-298-all,honeymoon travel
City 299,City 299 International Airport,ALM,Country 79,Latin America,city-299-alm,executive itineraries
City 300,City 300 International Airport,ALN,Country 80,Africa,city-300-aln,family premium travel
City 301,City 301 International Airport,ALO,Country 81,North America,city-301-alo,luxury city breaks
City 302,City 302 International Airport,ALP,Country 82,Europe,city-302-alp,business travel
City 303,City 303 International Airport,ALQ,Country 83,Middle East,city-303-alq,premium long-haul demand
City 304,City 304 International Airport,ALR,Country 84,Asia Pacific,city-304-alr,honeymoon travel
City 305,City 305 International Airport,ALS,Country 85,Latin America,city-305-als,executive itineraries
City 306,City 306 International Airport,ALT,Country 86,Africa,city-306-alt,family premium travel
City 307,City 307 International Airport,ALU,Country 87,North America,city-307-alu,luxury city breaks
City 308,City 308 International Airport,ALV,Country 88,Europe,city-308-alv,business travel
City 309,City 309 International Airport,ALW,Country 89,Middle East,city-309-alw,premium long-haul demand
City 310,City 310 International Airport,ALX,Country 90,Asia Pacific,city-310-alx,honeymoon travel
City 311,City 311 International Airport,ALY,Country 91,Latin America,city-311-aly,executive itineraries
City 312,City 312 International Airport,ALZ,Country 92,Africa,city-312-alz,family premium travel
City 313,City 313 International Airport,AMA,Country 93,North America,city-313-ama,luxury city breaks
City 314,City 314 International Airport,AMB,Country 94,Europe,city-314-amb,business travel
City 315,City 315 International Airport,AMC,Country 95,Middle East,city-315-amc,premium long-haul demand
City 316,City 316 International Airport,AMD,Country 96,Asia Pacific,city-316-amd,honeymoon travel
City 317,City 317 International Airport,AME,Country 97,Latin America,city-317-ame,executive itineraries
City 318,City 318 International Airport,AMF,Country 98,Africa,city-318-amf,family premium travel
City 319,City 319 International Airport,AMG,Country 99,North America,city-319-amg,luxury city breaks
City 320,City 320 International Airport,AMH,Country 100,Europe,city-320-amh,business travel
City 321,City 321 International Airport,AMI,Country 101,Middle East,city-321-ami,premium long-haul demand
City 322,City 322 International Airport,AMJ,Country 102,Asia Pacific,city-322-amj,honeymoon travel
City 323,City 323 International Airport,AMK,Country 103,Latin America,city-323-amk,executive itineraries
City 324,City 324 International Airport,AML,Country 104,Africa,city-324-aml,family premium travel
City 325,City 325 International Airport,AMM,Country 105,North America,city-325-amm,luxury city breaks
City 326,City 326 International Airport,AMN,Country 106,Europe,city-326-amn,business travel
City 327,City 327 International Airport,AMO,Country 107,Middle East,city-327-amo,premium long-haul demand
City 328,City 328 International Airport,AMP,Country 108,Asia Pacific,city-328-amp,honeymoon travel
City 329,City 329 International Airport,AMQ,Country 109,Latin America,city-329-amq,executive itineraries
City 330,City 330 International Airport,AMR,Country 110,Africa,city-330-amr,family premium travel
City 331,City 331 International Airport,AMS,Country 111,North America,city-331-ams,luxury city breaks
City 332,City 332 International Airport,AMT,Country 112,Europe,city-332-amt,business travel
City 333,City 333 International Airport,AMU,Country 113,Middle East,city-333-amu,premium long-haul demand
City 334,City 334 International Airport,AMV,Country 114,Asia Pacific,city-334-amv,honeymoon travel
City 335,City 335 International Airport,AMW,Country 115,Latin America,city-335-amw,executive itineraries
City 336,City 336 International Airport,AMX,Country 116,Africa,city-336-amx,family premium travel
City 337,City 337 International Airport,AMY,Country 117,North America,city-337-amy,luxury city breaks
City 338,City 338 International Airport,AMZ,Country 118,Europe,city-338-amz,business travel
City 339,City 339 International Airport,ANA,Country 119,Middle East,city-339-ana,premium long-haul demand
